PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=168 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=169 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=170 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=171 ttl=64 time=8.29 ms
264 bytes from 10.10.10.3: icmp_seq=172 ttl=64 time=6.59 ms
264 bytes from 10.10.10.3: icmp_seq=173 ttl=64 time=7.88 ms
264 bytes from 10.10.10.3: icmp_seq=174 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=175 ttl=64 time=8.56 ms
264 bytes from 10.10.10.3: icmp_seq=176 ttl=64 time=8.62 ms
264 bytes from 10.10.10.3: icmp_seq=177 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=178 ttl=64 time=6.44 ms
264 bytes from 10.10.10.3: icmp_seq=179 ttl=64 time=6.48 ms
264 bytes from 10.10.10.3: icmp_seq=180 ttl=64 time=11.0 ms

--- 10.10.10.3 ping statistics ---
180 packets transmitted, 180 received, 0% packet loss, time 89683ms
rtt min/avg/max/mdev = 0.933/9.518/14.061/2.206 ms
