PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=139 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=140 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=141 ttl=64 time=11.4 ms
264 bytes from 10.10.10.3: icmp_seq=142 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=143 ttl=64 time=9.21 ms
264 bytes from 10.10.10.3: icmp_seq=144 ttl=64 time=11.8 ms
264 bytes from 10.10.10.3: icmp_seq=145 ttl=64 time=12.7 ms
264 bytes from 10.10.10.3: icmp_seq=146 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=147 ttl=64 time=14.0 ms
264 bytes from 10.10.10.3: icmp_seq=148 ttl=64 time=14.1 ms
264 bytes from 10.10.10.3: icmp_seq=149 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=150 ttl=64 time=14.4 ms

--- 10.10.10.3 ping statistics ---
150 packets transmitted, 150 received, 0% packet loss, time 74656ms
rtt min/avg/max/mdev = 1.413/13.305/35.393/6.508 ms
