PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=164 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=165 ttl=64 time=13.7 ms
264 bytes from 10.10.10.3: icmp_seq=166 ttl=64 time=16.1 ms
264 bytes from 10.10.10.3: icmp_seq=167 ttl=64 time=13.9 ms
264 bytes from 10.10.10.3: icmp_seq=168 ttl=64 time=14.8 ms
264 bytes from 10.10.10.3: icmp_seq=169 ttl=64 time=19.1 ms
264 bytes from 10.10.10.3: icmp_seq=170 ttl=64 time=17.8 ms
264 bytes from 10.10.10.3: icmp_seq=171 ttl=64 time=19.8 ms
264 bytes from 10.10.10.3: icmp_seq=172 ttl=64 time=18.1 ms
264 bytes from 10.10.10.3: icmp_seq=173 ttl=64 time=18.8 ms
264 bytes from 10.10.10.3: icmp_seq=174 ttl=64 time=19.6 ms
264 bytes from 10.10.10.3: icmp_seq=175 ttl=64 time=17.6 ms
264 bytes from 10.10.10.3: icmp_seq=176 ttl=64 time=20.5 ms
264 bytes from 10.10.10.3: icmp_seq=177 ttl=64 time=16.7 ms
264 bytes from 10.10.10.3: icmp_seq=178 ttl=64 time=16.8 ms
264 bytes from 10.10.10.3: icmp_seq=179 ttl=64 time=19.8 ms
264 bytes from 10.10.10.3: icmp_seq=180 ttl=64 time=17.8 ms

--- 10.10.10.3 ping statistics ---
180 packets transmitted, 180 received, 0% packet loss, time 89675ms
rtt min/avg/max/mdev = 0.772/11.192/20.502/3.415 ms
